tag,gene,ensembl,n,cutpoint,HR_high,HR_high_low95,HR_high_high95,p_logrank,HR_high_adj,HR_high_adj_low95,HR_high_adj_high95,p_adj,plot_path
ecDNA,MMP12,ENSG00000262406,29,2.5100757818138,3.07332842877562,1.10739343047375,8.52935133187453,0.0249810011620836,2.56220135581606,0.795222270879742,8.25539729978017,0.114997366478781,survival_outputs/ecDNA_MMP12_KM.png
ecDNA,PVT1,ENSG00000249859,29,1.63240782439347,0.485358455870954,0.143538553085079,1.64118158935186,0.235813916899232,0.223233058174902,0.0452918353682187,1.10026449263937,0.0653938158009222,survival_outputs/ecDNA_PVT1_KM.png
ecDNA,COX6C,ENSG00000164919,29,4.7948525079552,2.67981014528993,1.21050306081768,5.93256031087428,0.0119454779944385,9.76766059022358,2.21154354949246,43.140544723934,0.00263633996926808,survival_outputs/ecDNA_COX6C_KM.png
ecDNA,SRSF1,ENSG00000136450,29,3.69132198828217,2.47386377704366,1.10945200380867,5.51623861722655,0.0231837092318939,5.0579684461484,1.56116685685743,16.38713036333,0.00687921395490513,survival_outputs/ecDNA_SRSF1_KM.png
ecDNA,MYC,ENSG00000136997,29,5.12264373212282,0.34687053498582,0.143119791287594,0.840688537615122,0.0149169241852697,0.509959908209638,0.182219620233488,1.42717402027265,0.199653861794518,survival_outputs/ecDNA_MYC_KM.png
ecDNA,BIRC2,ENSG00000110330,29,4.28752400898781,7.57456860939783,2.24056389083056,25.6069866399601,0.000126612140894489,13.9392701461281,2.82888206964335,68.6855257388783,0.00120401949382002,survival_outputs/ecDNA_BIRC2_KM.png
ecDNA,BIRC3,ENSG00000023445,29,0.824075356251562,0.146193017067405,0.0265403673921599,0.805278914322184,0.0157351129317261,,,,,survival_outputs/ecDNA_BIRC3_KM.png
ecDNA,YAP1,ENSG00000137693,29,4.68863917233009,0.53117185662089,0.198274665195773,1.42299340658324,0.20203416803001,1.44049684722327,0.354731104527411,5.84958899960191,0.609722544761788,survival_outputs/ecDNA_YAP1_KM.png
mine,TP53,ENSG00000141510,29,1.7921057056629,6.20678933200007,0.822003247933485,46.8662793105498,0.0448491305367963,2.83136193722436,0.336058469317894,23.8548084678075,0.338505035779753,survival_outputs/mine_TP53_KM.png
mine,NOTCH1,ENSG00000148400,29,3.14896663392377,0.139017338951394,0.0336549810779285,0.574233587722944,0.0014683397810441,0.122168593882802,0.0228379346530417,0.653525178964164,0.0140056377867886,survival_outputs/mine_NOTCH1_KM.png
mine,PIK3CA,ENSG00000121879,29,1.23456263226579,3.16720694273209,0.721082478771017,13.9113071159171,0.109532170926609,785006890.914358,0,Inf,0.998141229317283,survival_outputs/mine_PIK3CA_KM.png
