id	filename	md5	size	state
98e7190a-4d3a-4fdb-a021-c482f87e65f2	98e7190a-4d3a-4fdb-a021-c482f87e65f2/da658a99-8972-473e-9754-9712be0b1b25.rna_seq.augmented_star_gene_counts.tsv	c76ee2654bfa534d856a18d99025dade	4246089	validated
a6be8790-4ad8-427f-bd24-1089bc7163b2	a6be8790-4ad8-427f-bd24-1089bc7163b2/eae91070-e936-467a-9812-42c91d0f4f39.rna_seq.augmented_star_gene_counts.tsv	d01b56194108930fbe28f5cf52995c01	4254136	validated
b3fe7876-c807-4894-9856-5a241976f772	b3fe7876-c807-4894-9856-5a241976f772/5acb13f5-bf70-4a8f-81d6-cd8e13565af7.rna_seq.augmented_star_gene_counts.tsv	0539e57788f3d12546c81ac0c8eaf4b3	4253281	validated
c42a2554-4920-40fc-a0fe-7d6a26394345	c42a2554-4920-40fc-a0fe-7d6a26394345/734d8e32-212a-4acc-b11e-1d8407938fc6.rna_seq.augmented_star_gene_counts.tsv	69412ef993b4fd80cc28642b17497ab5	4260358	validated
c702ce91-1d1d-4d1c-ba9b-1dbe937425e2	c702ce91-1d1d-4d1c-ba9b-1dbe937425e2/a3e18366-19fa-4d0a-96e8-f15af6393a87.rna_seq.augmented_star_gene_counts.tsv	e293df8468c37014ef40ec0acba7e96b	4240602	validated
cf090b6d-e560-4fc6-ae94-8c8d48167215	cf090b6d-e560-4fc6-ae94-8c8d48167215/0166b2df-b4a1-4498-a85c-7092a0ccb25d.rna_seq.augmented_star_gene_counts.tsv	ff5c4fe33fcf08255d15f9dbeb07abf2	4264291	validated
cf0f4418-539f-4fa7-8fe3-4e4f8729f991	cf0f4418-539f-4fa7-8fe3-4e4f8729f991/36743aca-e9b2-4c02-abcc-79ee4721b98f.rna_seq.augmented_star_gene_counts.tsv	81c6c5e797308bde563c9574b227f1c8	4265175	validated
f2b318a4-c8ec-40f2-884b-c41994a920cc	f2b318a4-c8ec-40f2-884b-c41994a920cc/7acc9b1d-892d-4f39-981d-ea4868bf359c.rna_seq.augmented_star_gene_counts.tsv	83eb90eff9b86e93688f27e5a2388e55	4266123	validated
f93a5bc3-4606-4fe4-9ecc-bf70564025b8	f93a5bc3-4606-4fe4-9ecc-bf70564025b8/98bdae86-8900-40eb-a698-86aae463fe01.rna_seq.augmented_star_gene_counts.tsv	25278f877f50e860b761006ef0c1d5db	4253683	validated
fe31e331-4409-431e-b3e1-a8d080afc21d	fe31e331-4409-431e-b3e1-a8d080afc21d/393ce0d1-32c4-40cd-b73c-910300e77279.rna_seq.augmented_star_gene_counts.tsv	3385ee488b01c0051ca1cc47d052ce37	4262365	validated
fee72fbd-7c90-40be-96b8-1c26cffbedf7	fee72fbd-7c90-40be-96b8-1c26cffbedf7/628436c9-ba2e-4311-bce6-dd0696138916.rna_seq.augmented_star_gene_counts.tsv	b1bc13d24ea3370919cda7deb5f5eabc	4249244	validated
